,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Karangasem,ID,76.48,light rain,-8.45,115.6167,Villa Campuhan
10,Ponta Do Sol,PT,75.7,few clouds,32.6667,-17.1,Hotel do Campo
12,Rach Gia,VN,79.45,overcast clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
15,Kolaras,IN,73.47,overcast clouds,25.2333,77.6,Shiv Shakti Garden (Gayatri Colony)
18,Vaini,TO,73.56,overcast clouds,-21.2,-175.2,Keleti Beach Resort
21,Wanning,CN,78.13,overcast clouds,18.8003,110.3967,Paradise Hotel
23,Meulaboh,ID,75.49,overcast clouds,4.1363,96.1285,Kost Pria
28,Kapaa,US,79.11,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
29,San Quintin,MX,74.05,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
38,Akyab,MM,81.46,few clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
41,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
45,Vila Franca Do Campo,PT,70.21,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
46,Rikitea,PF,70.65,clear sky,-23.1203,-134.9692,People ThankYou
48,Mahebourg,MU,71.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
49,Kontagora,NG,73.98,moderate rain,10.3999,5.4695,Queens Guest Inn
61,Jalu,LY,74.25,clear sky,29.0331,21.5482,صاحبة الفخامة
62,Lucapa,AO,73.04,few clouds,-8.4192,20.7447,Lírio Mendes
65,Kirakira,SB,78.12,broken clouds,-10.4544,161.9205,SanBiz Lodge
72,Faanui,PF,78.6,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
74,Samarai,PG,80.58,overcast clouds,-10.6167,150.6667,Nuli Sapi
76,Butaritari,KI,81.97,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
77,Hilo,US,83.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
