City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
0,Albany,42.6001,-73.9662,70.36,few clouds,74,22,1.01,US
1,Novyy Urgal,51.0736,132.5642,26.6,overcast clouds,87,91,0.51,RU
2,Yellowknife,62.456,-114.3525,50.56,broken clouds,81,75,8.05,CA
3,Clyde River,70.4692,-68.5914,21.43,few clouds,73,20,13.8,CA
4,Provideniya,64.3833,-173.3,36.57,overcast clouds,66,85,9.15,RU
5,Busselton,-33.65,115.3333,47.44,broken clouds,79,81,3.76,AU
6,Vila,42.0304,-8.1588,61.7,scattered clouds,59,39,3.4,PT
7,Selikhino,50.3672,137.4996,32.14,clear sky,81,7,4.65,RU
8,Pevek,69.7008,170.3133,26.4,overcast clouds,71,100,22.57,RU
9,Karangasem,-8.45,115.6167,76.48,light rain,91,100,6.2,ID
10,Ponta Do Sol,32.6667,-17.1,75.7,few clouds,89,23,6.02,PT
11,Port Alfred,-33.5906,26.891,62.19,clear sky,85,0,14.12,ZA
12,Rach Gia,10.0167,105.0833,79.45,overcast clouds,83,100,5.95,VN
13,Kaitangata,-46.2817,169.8464,36.91,few clouds,88,12,3.78,NZ
14,Jamestown,42.097,-79.2353,49.01,overcast clouds,62,100,11.5,US
15,Kolaras,25.2333,77.6,73.47,overcast clouds,91,100,10.36,IN
16,Webuye,0.6075,34.7697,61.23,light rain,90,100,6.69,KE
17,Mataura,-46.1927,168.8643,35.24,scattered clouds,92,50,2.37,NZ
18,Vaini,-21.2,-175.2,73.56,overcast clouds,94,100,6.91,TO
19,Bluff,-46.6,168.3333,40.37,broken clouds,89,71,8.48,NZ
20,Ussel,45.55,2.3167,54.93,overcast clouds,88,100,2.13,FR
21,Wanning,18.8003,110.3967,78.13,overcast clouds,88,100,5.28,CN
22,Abomsa,9.9833,39.9833,74.86,broken clouds,45,82,7.58,ET
23,Meulaboh,4.1363,96.1285,75.49,overcast clouds,86,100,3.4,ID
24,Hermanus,-34.4187,19.2345,57.79,overcast clouds,73,92,9.1,ZA
25,Carnarvon,-24.8667,113.6333,65.26,clear sky,40,0,14.29,AU
26,Lasa,46.6166,10.7002,61.68,few clouds,86,14,3.22,IT
27,Kushiro,42.975,144.3747,50.27,light rain,90,100,16.46,JP
28,Kapaa,22.0752,-159.319,79.11,clear sky,81,0,4.61,US
29,San Quintin,30.4833,-115.95,74.05,clear sky,68,0,9.95,MX
30,Hamilton,39.1834,-84.5333,64.89,overcast clouds,53,100,18.41,US
31,Nome,64.5011,-165.4064,42.87,overcast clouds,81,100,20.71,US
32,Laguna,38.421,-121.4238,92.17,clear sky,42,0,5.75,US
33,Cape Town,-33.9258,18.4232,61.21,clear sky,67,0,14.97,ZA
34,Hervey Bay,-25.2986,152.8535,65.01,scattered clouds,91,29,10.0,AU
35,Bockenem,52.0099,10.132,57.47,overcast clouds,80,100,6.33,DE
